Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_Scaled,SalePrice_Normalized,SalePrice_Log,LotArea_Scaled,LotArea_Normalized,LotArea_Log,YearBuilt_Scaled,YearBuilt_Normalized,GarageArea_Scaled,GarageArea_Normalized,GarageArea_Log,OverallState,ExterState,BsmtState,YearsSinceRenovation
1,60,3,65.0,8450.0,1,2,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,7.5,5.0,2,7.5,5.0,0.0,10.0,706,0.0,0,150,856,1,10.0,1,4,856,854,0,1710,1,0,2,1,3,1,7.5,8,6,0,,1,2003.0,1,2,548,5.0,5.0,2,0,61,0,0,0,0,,4,4,0,2,2008,8,4,208500,0.6733438561758689,0.5694603903559128,12.247694320220994,-0.27971777941440795,0.37373895771261306,9.041921720351219,1.051725995080582,0.9453125,0.3853825864665687,0.5204178537511871,6.306275286948016,6.0,6.25,143.7,21
2,20,3,80.0,9600.0,1,2,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,0.0,5.0,5.0,1,7.5,5.0,10.0,8.0,978,0.0,0,284,1262,1,10.0,1,4,1262,0,0,1262,0,1,2,0,3,1,5.0,6,6,1,5.0,1,1976.0,1,2,460,5.0,5.0,2,298,0,0,0,0,0,,4,4,0,5,2007,8,4,181500,0.20487294287901917,0.48089224208627196,12.109010932687042,0.07110660798194897,0.4338508180440123,9.169518377455928,0.1417383145257842,0.734375,-0.04260561224744945,0.4368471035137702,6.131226489483141,7.0,5.0,200.1,48
3,60,3,68.0,11250.0,1,2,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,7.5,5.0,2,7.5,5.0,3.33,10.0,486,0.0,0,434,920,1,10.0,1,4,920,866,0,1786,1,0,2,1,3,1,7.5,6,6,1,5.0,1,2001.0,1,2,608,5.0,5.0,2,0,42,0,0,0,0,,4,4,0,9,2008,8,4,223500,0.9336054746741187,0.6186649171723799,12.31716669303576,0.574463337724548,0.5200982698238461,9.328123407632566,0.9843195002246711,0.9296875,0.6771927219533993,0.5773979107312441,6.410174881966167,6.0,6.25,100.366,22
4,70,3,60.0,9550.0,1,2,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,3,0.0,5.0,5.0,0,5.0,7.5,0.0,8.0,216,0.0,0,540,756,1,7.5,1,4,961,756,0,1717,1,0,1,0,3,1,7.5,7,6,1,7.5,5,1998.0,2,3,642,5.0,5.0,2,0,35,272,0,0,0,,4,4,0,2,2006,8,0,140000,-0.5151842016328053,0.34475971789404625,11.84939770159144,0.055853373747324755,0.4312372588991689,9.164296433474776,-1.9141597785794997,0.2578125,0.84255179872927,0.6096866096866097,6.464588303689961,6.0,5.0,45.7,54
5,60,3,84.0,14260.0,1,2,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,7.5,5.0,2,7.5,5.0,6.66,10.0,655,0.0,0,490,1145,1,10.0,1,4,1145,1053,0,2198,1,0,2,1,4,1,7.5,9,6,1,5.0,1,2000.0,1,3,836,5.0,5.0,2,192,84,0,0,0,0,,4,4,0,12,2008,8,4,250000,1.3934010006876933,0.7055929145481384,12.429216196844383,1.4927080386489258,0.6774345303434216,9.565213693968287,0.9506162527967156,0.921875,1.7860712368033556,0.7939221272554606,6.728628613084702,6.5,6.25,134.832,24
6,50,3,85.0,14115.0,1,2,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,3,0.0,5.0,5.0,5,7.5,5.0,0.0,10.0,732,0.0,0,64,796,1,10.0,1,4,796,566,0,1362,1,0,1,1,1,1,5.0,5,6,0,,1,1993.0,2,2,480,5.0,5.0,2,40,30,0,320,0,0,,2,2,700,10,2009,8,4,143000,-0.46313187793315536,0.35460062325733965,11.870599909242044,1.4484736593685155,0.6698552088233757,9.55499334068759,0.7146935208010272,0.8671875,0.05466443291482741,0.45584045584045585,6.173786103901937,5.0,5.0,148.9,29
7,20,3,75.0,10084.0,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,2,186.0,7.5,5.0,2,10.0,5.0,6.66,10.0,1369,0.0,0,317,1686,1,10.0,1,4,1694,0,0,1694,1,0,2,0,3,1,7.5,7,6,1,7.5,1,2004.0,1,2,636,5.0,5.0,2,255,57,0,0,0,0,,4,4,0,8,2007,8,4,307000,2.3823951509810426,0.8925701164507136,12.634603026569334,0.21875791537311134,0.45915007056609697,9.218705288307811,1.0854292425085375,0.953125,0.8133707851805869,0.603988603988604,6.455198563340122,6.5,6.25,278.132,19
8,60,3,69.0,10382.0,1,2,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,2,240.0,5.0,5.0,1,7.5,5.0,3.33,8.0,859,6.0,32,216,1107,1,10.0,1,4,1107,983,0,2090,1,0,2,1,3,1,5.0,7,6,2,5.0,1,1973.0,1,2,484,5.0,5.0,2,235,204,228,0,0,0,,4,2,350,11,2009,8,4,200000,0.525862272360194,0.5415778251599147,12.206072645530174,0.30966719141147164,0.4747268830693639,9.247828816387175,0.04062857224191777,0.7109375,0.07411844194728277,0.459639126305793,6.182084906716632,6.5,5.0,181.366,51
9,50,4,51.0,6120.0,1,2,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,3,0.0,5.0,5.0,0,5.0,5.0,0.0,0.0,0,0.0,0,952,952,1,7.5,1,1,1022,752,0,1774,0,0,2,0,2,2,5.0,8,2,2,5.0,5,1931.0,2,2,468,2.5,5.0,2,90,0,205,0,0,0,,4,4,0,4,2008,8,0,129900,-0.6904270247549602,0.31162866983762505,11.77452020265869,-0.9905184947478963,0.2519471015629084,8.719317375506371,-1.3749078197322122,0.3828125,-0.0036975941825387088,0.4444444444444445,6.148468295917647,6.0,5.0,2.0,74
10,190,3,50.0,7420.0,1,2,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,0.0,5.0,5.0,0,5.0,5.0,0.0,10.0,851,0.0,0,140,991,1,10.0,1,4,1077,0,0,1077,1,0,1,0,2,2,5.0,5,6,2,5.0,1,1939.0,1,1,205,7.5,5.0,2,0,4,0,0,0,0,,4,4,0,1,2008,8,4,118000,-0.896901242096905,0.2725930785632278,11.678439903447801,-0.5939344046476668,0.319899639328838,8.911934336161426,-1.1052818403085685,0.4453125,-1.2827986880664795,0.19468186134852802,5.3230099791384085,5.5,5.0,172.2,74
